name,host_star,discovery_year,discovery_method,mass,mass_error_min,mass_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,equilibrium_temperature,equilibrium_temperature_error_min,equilibrium_temperature_error_max,source,last_updated
TOI-2420 b,TOI-2420,2024.0,Transit,294.62693329,27.0154146,-25.10844415,15.02003414,0.82946457,-0.80704661,5.842641,1.5e-05,-1.3e-05,0.0684,0.0067,-0.0059,0.055,0.036,-0.031,82.07,0.98,-1.04,1571.6,60.8,-64.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
TOI-2537 b,TOI-2537,2024.0,Transit,415.40172795,28.92238504,-27.96889982,11.25381662,0.66132986,-0.68374782,94.1022,0.0011,-0.0011,0.3715,0.0077,-0.008,0.364,0.039,-0.039,89.592,0.097,-0.075,338.0,14.0,-14.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
TOI-2580 b,TOI-2580,2024.0,Transit,200.23189641,25.42627256,-25.42627256,17.37392009,0.56044904,-0.56044904,3.39775,2e-06,-2e-06,0.048,0.003,-0.003,0.08,0.04,-0.04,,,,2410.0,60.0,-60.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
WASP-116 b,WASP-116,2025.0,Transit,203.41018048,44.49597698,-44.49597698,13.67495645,0.67253884,-0.67253884,6.6132,2e-06,-2e-06,0.065,0.003,-0.003,0.0,,,89.57,0.05,-0.28,1414.0,70.0,-70.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
WASP-155 b,WASP-155,2025.0,Transit,276.8285425,57.20911326,-57.20911326,13.45077684,0.67253884,-0.67253884,3.110413,1e-06,-1e-06,0.043,0.002,-0.002,0.0,,,86.7,0.29,-0.29,1468.0,76.0,-76.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
2MASS J19383260+4603591 b,2MASS J19383260+4603591,2015.0,Eclipse Timing Variations,603.877,31.783,-31.783,13.4,,,406.0,4.0,-4.0,0.92,0.02,-0.02,0.33,0.05,-0.05,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HD 134606 e,HD 134606,2024.0,Radial Velocity,2.34,0.35,-0.34,1.33,,,4.3203,0.00051,-0.00047,0.0527,0.0011,-0.0012,0.2,0.14,-0.13,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
TOI-3807 b,TOI-3807,2023.0,Transit,330.54154328,47.67426105,-44.49597698,18.49481816,,,2.8989727,3.8e-06,-3.9e-06,0.0421,0.0007,-0.0011,0.0,,,80.81,,,1646.0,25.0,-24.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
TOI-2525 b,TOI-2525,2023.0,Transit,26.69758619,1.58914204,-1.58914204,8.67575106,0.11208981,-0.11208981,23.2856,0.0017,-0.0017,0.1511,0.002,-0.002,0.17,0.011,-0.01,89.5,0.07,-0.07,512.97,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HATS-11 b,HATS-11,2016.0,Transit,263.7989,31.783,-31.783,18.03,0.72,-0.72,3.619188,2.8e-05,-2.9e-05,0.0507,0.0012,-0.0012,0.34,,,89.03,0.36,-0.47,1596.0,95.0,-94.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HATS-36 b,HATS-36,2018.0,Transit,1022.14128,19.70546,-19.70546,12.92,0.38,-0.38,4.175186,3.3e-05,-3.3e-05,0.0523,0.0006,-0.0006,0.105,0.028,-0.028,87.61,0.23,-0.23,1203.0,25.0,-24.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HATS-9 b,HATS-9,2015.0,Transit,266.02371,9.21707,-9.21707,13.85,0.35,-0.35,1.915291,1.9e-05,-1.8e-05,0.0312,0.0004,-0.0005,0.075,,,88.94,0.44,-0.44,1746.0,36.0,-36.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HD 188641 b,HD 188641,2022.0,Radial Velocity,9333.03117156,1901.88518749,-1179.77904678,11.9,,,14583.81038,3328.20988,-2616.26788,12.027,1.897,-1.567,0.034,0.059,-0.088,49.245,4.35,-4.827,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
WASP-36 b,WASP-36,2011.0,Transit,750.39663,22.2481,-22.2481,14.874343,0.235389,-0.235389,1.53736596,2.4e-07,-2.4e-07,0.02677,0.00028,-0.00028,0.019,,,83.15,0.13,-0.13,1733.0,19.0,-19.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
K2-3 b,K2-3,2015.0,Transit,5.11,0.65,-0.64,2.078,0.076,-0.067,10.0546535,8.8e-06,-9.1e-06,0.0747,0.0013,-0.0012,0.107,0.057,-0.059,89.4,0.34,-0.22,501.3,5.1,-5.2,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
K2-348 c,K2-348,2021.0,Transit,7.61,,,2.67,0.23,-0.11,12.550171,0.001018,-0.001057,,,,,,,,,,655.0,7.0,-9.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
K2-43 b,K2-43,2016.0,Transit,18.5,,,4.51,0.44,-0.19,3.471149,0.000104,-5.2e-05,0.03784,0.00063,-0.00063,0.07,0.149039,-0.057685,89.6,1.35,-0.67,939.3,37.7,-18.5,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
K2-77 b,K2-77,2016.0,Transit,603.877,,,2.4996027,0.16813471,-0.12329879,8.2000844,8.6e-06,-7.3e-06,0.0753,0.0011,-0.0011,0.29,0.37,-0.19,88.33,0.83,-0.37,806.0,18.0,-18.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Kepler-42 b,Kepler-42,2011.0,Transit,0.705944,,,0.78,0.22,-0.22,1.2137672,4.6e-06,-4.6e-06,0.0116,,,0.04,0.2,-0.04,85.57,,,519.0,52.0,-52.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HR 8799 c,HR 8799,2008.0,Imaging,3000.0,1000.0,-1000.0,13.0,1.0,0.0,69000.0,,,38.0,,,0.5,,,29.43,0.35,-0.35,1200.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HATS-15 b,HATS-15,2016.0,Transit,689.6911,47.6745,-47.6745,12.385945,0.44836,-0.44836,1.74748753,9.4e-07,-9.4e-07,0.02712,0.00023,-0.00023,0.126,,,87.13,0.97,-0.67,1505.0,30.0,-30.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
GJ 3341 b,GJ 3341,2015.0,Radial Velocity,6.6,0.1,-0.1,2.46,,,14.207,0.007,-0.007,0.089,,,0.31,0.11,-0.11,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
GJ 581 e,GJ 581,2009.0,Radial Velocity,2.48,0.7,-0.42,1.38,,,3.1481,0.0004,-0.0004,0.02799,0.0003,-0.0003,0.012,0.015,-0.008,47.0,15.0,-13.0,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
G 264-012 b,G 264-012,2021.0,Radial Velocity,2.5,0.29,-0.3,1.39,,,2.30538,0.00031,-0.00031,0.02279,0.00061,-0.00061,,,,,,,587.0,16.0,-16.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
EPIC 212624936 c,EPIC 212624936,2021.0,Transit,5.9,,,2.3,0.5,-0.5,11.811437,0.00011,-0.00011,,,,,,,90.0,1.0,-0.9,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
K2-104 b,K2-104,2016.0,Transit,3.86,,,1.79,0.1,-0.06,1.9741954,2.4e-06,-2.4e-06,0.0242,0.0022,-0.0055,0.09,0.167783,-0.07267,88.75,0.45,-0.45,798.0,9.0,-39.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
EPIC 201615463 c,K2-166,2019.0,Transit,1.98,,,1.22,0.21,-0.17,3.80464,0.00091,-0.00105,,,,,,,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
EPIC 206032309 b,EPIC 206032309,2019.0,Transit,1.01,,,1.01,0.24,-0.13,2.87814,0.00023,-0.00026,,,,,,,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
EPIC 212424622 b,EPIC 212424622,2019.0,Transit,5.35,,,2.17,0.67,-0.42,18.0983,0.006,-0.0058,,,,,,,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
TOI-1683.01,TOI-1683,2024.0,Transit,7.45,,,2.6382,0.276387,-0.276387,3.0575356,,,0.036507593,,,,,,,,,929.25,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
GJ 3293 d,GJ 3293,2017.0,Radial Velocity,7.6,1.05,-1.05,2.67,,,48.1345,0.0628,-0.0661,0.19394,0.00017,-0.00018,0.12,0.13,-0.09,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
BD-08 2823 b,BD-08 2823,2009.0,Radial Velocity,12.7132,3.1783,-3.1783,3.61,,,5.6,0.02,-0.02,0.06,0.0,0.0,0.15,0.15,-0.15,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
BD-10 3166 b,BD-10 3166,2000.0,Radial Velocity,187.5197,22.2481,-22.2481,14.1,,,3.48777,0.00011,-0.00011,0.04,0.0,0.0,0.02,0.02,-0.02,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
GJ 720 A b,GJ 720 A,2021.0,Radial Velocity,13.64,0.78,-0.79,3.77,,,19.466,0.005,-0.005,0.119,0.002,-0.001,0.12,0.05,-0.06,,,,401.0,32.0,-32.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
BD-13 2130 b,BD-13 2130,2007.0,Radial Velocity,3108.3774,1449.3048,-1449.3048,12.5,,,714.29999,5.3,-5.3,1.66,0.12,-0.12,0.21,0.07,-0.07,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HD 215152 d,HD 215152,2018.0,Radial Velocity,2.801,0.809,-0.923,1.48,,,10.86499,0.00564,-0.00613,0.08799,0.00113,-0.00116,0.0,,,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
AB Pic b,AB Pic,2005.0,Imaging,4290.5,158.9,-158.9,12.3,,,,,,260.0,,,,,,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
CoRoT-7 d,CoRoT-7,2022.0,Radial Velocity,17.142,2.552,-2.552,4.31,,,8.966,1.546,-1.546,,,,,,,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HD 113337 c,HD 113337,2020.0,Radial Velocity,6299.67685515,772.32302901,-818.40814802,12.1,,,5429.93477,452.06707,-283.91966,6.805,0.536,-0.468,0.164,0.057,-0.056,57.478,4.552,-3.652,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
EPIC 246851721 b,EPIC 246851721,2018.0,Transit,953.49,349.613,-381.396,11.780659,0.493196,-0.493196,6.180235,1.4e-05,-1.4e-05,0.07229,0.00074,-0.00075,,,,86.21,0.17,-0.17,1401.0,16.0,-16.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
K2-128 b,K2-128,2017.0,Transit,2.6,,,1.42,0.16,-0.13,5.675819,0.000411,-0.000414,0.056,0.002,-0.002,0.23,0.220222,-0.19371,87.4,1.08,-0.66,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
K2-123 b,K2-123,2017.0,Transit,8.05,,,2.76,0.16,-0.16,30.951524,0.003625,-0.00332,0.1649,0.0008,-0.0008,0.06,0.144415,-0.051458,89.79,0.14,-0.17,338.0,5.0,-5.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
K2-132 b,K2-132,2017.0,Transit,155.7367,19.0698,-19.0698,14.5717,0.78463,-0.78463,9.1751,0.0023,-0.0027,0.0916,0.0006,-0.0006,0.29,0.049,-0.049,77.46,0.47,-0.51,1586.0,10.0,-10.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
K2-113 b,K2-113,2017.0,Transit,410.0007,41.3179,-44.4962,12.14,0.35,-0.35,5.817685,4.1e-05,-4.1e-05,0.0642,0.0009,-0.0009,0.0,,,86.21,0.2,-0.21,1098.0,23.0,-23.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
KMT-2021-BLG-1105L b,KMT-2021-BLG-1105L,2023.0,Microlensing,413.1769291,216.12331676,-216.12331676,13.6,,,,,,3.54,1.06,-1.06,,,,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HD 105618 c,HD 105618,2022.0,Radial Velocity,8419.59232984,1379.37528638,-898.50090659,11.9,,,77114.07158,22860.71764,-10271.15556,35.731,6.866,-3.639,0.126,0.098,-0.08,31.968,3.441,-3.897,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
TOI-837 b,TOI-837,2020.0,Transit,120.45696625,18.43404761,-19.38753283,9.16894621,0.38110534,-0.26901554,8.3249113,3.6e-06,-3.6e-06,0.0888,0.0026,-0.0029,0.0,,,87.097,0.099,-0.129,995.3,20.4,-19.1,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
PDS 70 b,PDS 70,2018.0,Imaging,953.49,317.83,-317.83,30.48848,2.2418,-1.90553,43500.0,,,20.0,2.0,-2.0,0.19,0.15,-0.09,140.0,7.0,-6.0,1204.0,26.0,-27.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
GJ 357 b,GJ 357,2019.0,Transit,1.84,0.31,-0.31,1.2,0.06,-0.06,3.9306,2e-06,-2e-06,0.036,0.0004,-0.0004,,,,89.228,0.483,-0.483,518.0,44.0,-44.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
WASP-124 b,WASP-124,2016.0,Transit,190.698,22.2481,-22.2481,13.89916,0.33627,-0.33627,3.37265,1e-06,-1e-06,0.0449,0.0007,-0.0007,0.017,,,86.3,0.2,-0.2,1400.0,30.0,-30.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
K2-338 b,K2-338,2021.0,Transit,1.08,,,1.03,0.11,-0.05,3.850614,1.2e-05,-1.2e-05,,,,,,,,,,783.0,12.0,-14.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
K2-187 b,K2-187,2018.0,Transit,1.87,,,1.2,0.2,-0.2,0.77401,8.3e-05,-8.3e-05,0.0164,0.0002,-0.0002,,,,89.7,10.0,-8.0,1815.0,35.0,-35.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HD 164604 b,HD 164604,2009.0,Radial Velocity,4544.9462201,1748.0562385,-1748.0562385,12.3,,,641.472,10.129,-10.129,1.331,0.029,-0.029,0.35,0.1,-0.1,29.0,19.0,-19.0,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
KIC 8540376 c,KOI-7892,2015.0,Transit,6.35,,,2.4,1.9,-1.4,75.2,38.9,-1.1,,,,,,,89.701,0.16,-0.16,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
KOI-217 b,KOI-217,2010.0,Transit,,,,12.442,0.224,-0.224,3.90512,5e-05,-5e-05,0.0477,0.0007,-0.0007,0.0,,,89.8,0.2,-0.4,1046.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Kepler-603 c,Kepler-603,2016.0,Transit,34.5,,,6.5,1.48,-0.62,127.9075774,0.0004999,-0.0004999,0.53439,0.0063,-0.0063,0.0,,,89.58,,,401.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Kepler-275 c,Kepler-275,2014.0,Transit,11.4,,,3.38,0.64,-0.64,16.088134,0.000164,-0.000164,0.132,,,0.0,,,87.82,,,875.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Kepler-170 c,Kepler-170,2014.0,Transit,8.55,,,2.86,0.17,-0.17,16.665863,5.3e-05,-5.3e-05,0.131,,,0.0,,,89.13,,,702.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Kepler-598 c,Kepler-598,2020.0,Transit,9.4,,,3.02420941,,,86.4945,,,0.36672,0.00383,-0.00383,0.0,,,89.33,,,367.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
eps Ind A b,eps Ind A,2019.0,Radial Velocity,2005.49724817,190.6970442,-177.98390792,12.7,,,16510.0,2100.0,-1740.0,28.4,10.0,-7.2,0.4,0.15,-0.18,103.7,2.3,-2.3,275.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
AF Lep b,AF Lep,2023.0,Imaging,1017.0509024,222.4798849,-190.6970442,13.1,,,8030.0,1800.0,-1800.0,8.4,1.1,-1.3,0.24,0.27,-0.15,50.0,9.0,-12.0,1400.0,300.0,-300.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
WD 0806-661 b,WD 0806-661,2011.0,Imaging,2542.627256,635.656814,-635.656814,12.6,,,,,,2500.0,,,,,,,,,340.0,10.0,-10.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Kepler-655 b,Kepler-655,2016.0,Transit,7.8,,,2.71,0.41,-0.27,46.4063358,0.0001651,-0.0001651,0.25697,0.0026,-0.0026,0.0,,,89.98,,,588.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
K2-331 b,K2-331,2021.0,Transit,3.86,,,1.79,0.14,-0.1,9.398977,0.001506,-0.001348,,,,,,,,,,909.0,14.0,-14.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Kepler-1819 b,Kepler-1819,2021.0,Transit,14.5,,,3.90351256,,,16.48690033,,,0.1337,,,0.0,,,87.38,,,760.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
KMT-2021-BLG-0736L b,KMT-2021-BLG-0736L,2025.0,Microlensing,21.0,13.0,-10.0,4.86,,,,,,4.0,0.9,-0.8,,,,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HD 158259 e,HD 158259,2020.0,Radial Velocity,6.08,0.94,-1.03,2.34,,,7.951,0.0022,-0.0021,,,,,,,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
TOI-1736 c,TOI-1736,2023.0,Radial Velocity,2800.0,500.0,-200.0,12.5,,,571.25,0.46,-0.46,1.37,0.03,-0.03,0.3685,0.0021,-0.0021,69.0,15.0,-17.0,249.0,9.0,-9.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
WASP-3 b,WASP-3,2007.0,Transit,772.3269,168.4499,-168.4499,15.91678,1.90553,-1.90553,1.84683,2e-06,-2e-06,0.0315,0.0003,-0.0003,0.0,,,85.06,0.16,-0.16,2020.0,35.0,-35.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
TOI-125 d,TOI-125,2020.0,Transit,13.6,1.2,-1.2,2.93,0.17,-0.17,19.98,0.005,-0.0056,0.137,0.0022,-0.0022,0.168,0.088,-0.062,88.795,0.18,-0.1,638.1,6.6,-6.6,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
TOI-178 b,TOI-178,2021.0,Transit,1.5,0.39,-0.44,1.152,0.073,-0.07,1.914558,1.8e-05,-1.8e-05,0.02607,0.00078,-0.00078,,,,88.8,0.8,-1.3,1040.0,22.0,-21.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HD 11506 d,HD 11506,2022.0,Radial Velocity,4068.2036096,190.6970442,-158.9142035,12.3,,,26500.0,300.0,-300.0,18.2,0.06,-0.09,0.29,0.02,-0.03,90.0,6.0,-5.0,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HR 858 c,HR 858,2019.0,Transit,3.8,,,1.979,0.054,-0.051,5.973865,1.5e-05,-1.6e-05,0.0687,0.00092,-0.00092,0.0,,,86.59,0.15,-0.14,1309.0,19.0,-19.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
TOI-5076 b,TOI-5076,2024.0,Transit,16.14568308,2.47906157,-2.47906157,3.48935569,0.09975993,-0.09415544,23.443162,6.2e-05,-6.3e-05,0.1481,0.0028,-0.003,0.0,,,89.84,0.11,-0.17,550.0,14.0,-14.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
WASP-132 b,WASP-132,2016.0,Transit,136.0305582,4.76742611,-4.76742611,10.09929161,0.42594127,-0.42594127,7.1335164,1.9e-06,-1.9e-06,0.0674,0.0029,-0.0029,0.0163,0.0067,-0.0069,89.46,0.13,-0.11,682.0,75.0,-114.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
TOI-620 b,TOI-620,2022.0,Transit,13.6,,,3.76,0.15,-0.15,5.0988179,4.5e-06,-4.6e-06,0.04825,0.00065,-0.00066,0.22,0.28,-0.12,87.47,0.18,-0.3,603.6,5.5,-5.3,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,2011.0,Imaging,3337.1,1430.2,-1430.2,12.4,,,10037.5,2737.5,-2737.5,2.6,0.3,-0.3,,,,,,,370.0,40.0,-40.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
CoRoT-14 b,CoRoT-14,2010.0,Transit,2415.4,190.7,-190.7,12.22,0.78,-0.78,1.51214,0.00013,-0.00013,0.027,0.002,-0.002,0.0,,,79.6,0.8,-0.8,1952.0,66.0,-66.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
LP 714-47 b,LP 714-47,2020.0,Transit,30.8,1.5,-1.5,4.7,0.3,-0.3,4.052037,4e-06,-4e-06,0.0417,0.0005,-0.0005,0.04,0.02,-0.02,87.3,0.2,-0.2,700.0,19.0,-24.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
TOI-1075 b,TOI-1075,2022.0,Transit,9.95,1.36,-1.3,1.791,0.116,-0.081,0.6047328,3.2e-06,-3.2e-06,0.01159,0.00023,-0.0002,0.0,,,84.67,3.34,-3.93,1323.0,44.0,-44.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
K2-154 c,K2-154,2018.0,Transit,4.94,,,2.07,0.18,-0.13,7.95486,0.00084,-0.00085,0.0677,0.0005,-0.0005,,,,,,,552.0,7.0,-7.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Kepler-114 d,Kepler-114,2013.0,Transit,3.9,1.7,-1.7,2.53,0.28,-0.28,11.776,,,0.08358,0.00303,-0.00303,0.0,,,88.87,,,446.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
GJ 3998 c,GJ 3998,2016.0,Radial Velocity,6.82,0.78,-0.75,2.5,,,13.727,0.003,-0.004,0.09,0.003,-0.003,0.0,,,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
KOI-94 c,KOI-94,2013.0,Transit,15.6,5.7,-15.6,4.32,0.41,-0.41,10.423648,1.6e-05,-1.6e-05,0.1013,0.0013,-0.0013,0.43,0.23,-0.23,88.36,0.75,-0.75,1012.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HD 219134 f,HD 219134,2015.0,Radial Velocity,7.3,0.4,-0.4,1.31,0.02,-0.02,22.717,0.015,-0.015,0.1463,0.0018,-0.0018,0.148,0.047,-0.047,,,,522.6,4.1,-4.1,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
WASP-187 b,WASP-187,2020.0,Transit,254.264,28.6047,-28.6047,18.38276,0.56045,-0.56045,5.147878,5e-06,-9e-06,0.0653,0.0013,-0.0013,0.0,,,,,,1760.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Kepler-18 c,Kepler-18,2011.0,Transit,17.3,1.9,-1.9,5.49,0.26,-0.26,7.64159,3e-05,-3e-05,0.0752,0.0011,-0.0011,0.0,,,87.68,0.22,-0.22,899.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
TOI-2981 b,TOI-2981,2024.0,Transit,638.0,33.0,-33.0,13.4,0.42,-0.42,3.601501,2e-06,-2e-06,0.048,0.002,-0.002,0.035,,,87.98,0.79,-0.56,1358.0,39.0,-39.0,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
TOI-6255 b,TOI-6255,2024.0,Transit,1.44,0.14,-0.14,1.079,0.065,-0.065,0.23818244,1.2e-07,-1.2e-07,,,,0.0,,,74.4,1.2,-1.2,1256.46,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
Kepler-25 b,Kepler-25,2011.0,Transit,8.7,2.5,-2.3,2.748,0.038,-0.035,6.238297,1.7e-05,-1.7e-05,0.0695,0.00068,-0.00068,0.0029,0.0023,-0.0017,92.827,0.084,-0.083,1185.0,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
TOI-1467 b,TOI-1467,2024.0,Transit,9.0,,,1.92,0.171,-0.113,5.97114713,8.746e-06,-8.47e-06,0.050748,0.000683,-0.000701,0.0,,,88.98,0.44,-0.73,506.07,5.91,-5.28,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
TOI-1249 b,TOI-1249,2024.0,Transit,11.9,5.2,-5.1,3.2710301,0.30687428,-0.18737301,13.079151,5.4e-05,-5.4e-05,0.109,0.002,-0.002,0.0,,,,,,726.89,11.82,-11.39,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
TOI-2459 b,TOI-2459,2023.0,Transit,9.03,,,2.9531,0.0916,-0.0658,19.104718,2.3e-05,-2.4e-05,,,,,,,89.59,0.28,-0.41,445.01,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
TOI-251 b,TOI-251,2021.0,Transit,317.83,,,2.74,0.18,-0.18,4.93777,2.8e-05,-2.9e-05,0.05741,0.00023,-0.00017,0.0,,,87.52,0.4,-0.31,1041.19,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
GJ 180 c,GJ 180,2014.0,Radial Velocity,6.4,3.7,-4.1,2.41,,,24.329,0.052,-0.066,0.129,0.007,-0.017,0.09,0.2,-0.09,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HD 136118 b,HD 136118,2022.0,Radial Velocity,4164.18778851,428.75052104,-402.05293485,12.3,,,1187.59765,2.22732,-2.38111,2.327,0.1,-0.11,0.344,0.014,-0.014,116.779,4.025,-5.87,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HD 153557 b,HD 153557,2022.0,Radial Velocity,20.34101805,1.90697044,-2.22479885,4.77,,,7.29903,0.00033,-0.00031,0.068,0.003,-0.003,0.065,0.053,-0.037,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HD 155918 b,HD 155918,2022.0,Radial Velocity,7.62788177,0.95348522,-1.27131363,2.67,,,1.87567,4e-05,-4e-05,0.03,0.001,-0.001,0.194,0.197,-0.129,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HD 156098 b,HD 156098,2022.0,Radial Velocity,15.89142035,3.49611248,-1.27131363,4.12,,,21.85849,0.01232,-0.00601,0.167,0.008,-0.009,0.109,0.101,-0.048,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
GJ 3138 d,GJ 3138,2017.0,Radial Velocity,10.5,2.3,-2.1,3.23,,,257.8,3.6,-3.5,0.698,0.018,-0.019,0.32,0.2,-0.21,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
HD 134060 c,HD 134060,2019.0,Radial Velocity,29.29,4.43,-4.24,5.91,,,1291.5646,48.0333,-44.2197,2.3928,0.0929,-0.0951,0.11,0.13,-0.07,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
GJ 433 b,GJ 433,2011.0,Radial Velocity,6.043,0.597,-0.597,2.33,,,7.3705,0.0005,-0.0005,0.062,0.002,-0.002,0.04,0.03,-0.03,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
GJ 433 d,GJ 433,2020.0,Radial Velocity,5.223,0.921,-0.921,2.14,,,36.059,0.016,-0.016,0.178,0.006,-0.006,0.07,0.05,-0.05,,,,,,,NASA Exoplanet Archive,2025-05-17T22:30:38.039600
